Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,pt,ru
,,,Thanks for your report! Our moderators will review the place and make a determination.,Danke für deine Meldung! Unsere Moderatoren werden sich die Sache ansehen und eine Entscheidung treffen.,,Gracias por denunciarlo. Nuestros moderadores analizarán el juego y tomarán una decisión.,Gracias por denunciarlo. Nuestros moderadores analizarán el juego y tomarán una decisión.,Merci pour ce signalement ! Nos modérateurs vont examiner le jeu avant de prendre une décision.,Grazie della segnalazione! I moderatori esamineranno il gioco e prenderanno una decisione.,ご報告ありがとうございます！ モデレーターが場所を確認のうえ対応致します。,Obrigado por sua denúncia! Nossos moderadores verificarão o jogo e irão tomar uma decisão.,Спасибо за сообщение! Наши модераторы изучат это место и примут решение.
,,,Canceling...,Abbrechen ...,,Cancelando...,Cancelando...,Annulation...,Annullamento...,キャンセル中...,Cancelando...,Отмена...
,,,Memory,Speicher,,Memoria,Memoria,Mémoire,Memoria,メモリー,Memória,Память
,,,Physics,Physik,,Física,Física,Physique,Fisica,物理エンジン,Física,Физика
,,,Dev Console,Entwicklerkonsole,,Consola de desarrollo,Consola de desarrollo,Console de dév.,Console svilup.,Dev コンソール,Console de dev.,Консоль разработчика
,,,Camera Sensitivity,Kameraempfindlichkeit,,Sensibilidad de la cámara,Sensibilidad de la cámara,Sensibilité Camèra,Sensibilità della fotocamera,カメラの感度,Sensibilidade da câmera,Чувствительность камеры
,,,Camera Inverted,Kamera invertiert,,Cámara invertida,Cámara invertida,Caméra Inversée,Macchina fotografica invertita,カメラの反転,Câmera Invertida,Перевернутая камера
,,,Don't Leave,Nicht verlassen,,No salir,No salir,Ne pas quitter,Non uscire,やめない,Não sair,Не выходить
,,,Don't Reset,Nicht zurücksetzen,,No reiniciar,No reiniciar,Ne pas réinitialiser,Non azzerare,リセットしない,Não reiniciar,Не сбрасывать
,,,Drop Tool,Werkzeug ablegen,,Soltar herramienta,Soltar herramienta,Lâcher outil,Lascia strumento,ドロップツール,Largar,Выбросить инструм.
,,,ESC,ESC,,ESC,ESC,ÉCHAP,ESC,ESC,ESC,ESC
,,,Equip Tools,Werkzeuge aktivieren,,Equipar herramientas,Equipar herramientas,Prendre outils,Equipaggia strum.,ツールを装備する,Equipar,Назначить инструм.
,,,Follow,Folgen,,Seguir,Seguir,Suivre,Segui,フォロー,Seguir,Слежение
,,,Fullscreen,Vollbild,,Pantalla completa,Pantalla completa,Plein écran,Schermo intero,フルスクリーン,Tela cheia,Полный экран
,,,GPU,GPU,,GPU,GPU,Processeur Graphique,GPU,GPU,GPU,Графический процессор
,,,Game,Spiel,,Juego,Juego,Jeu,Gioco,ゲーム,Jogo,Игра
,,,Game or Player?,Spiel oder Spieler?,,¿Juego o jugador?,¿Juego o jugador?,Jeu ou joueur ?,Gioco o giocatore?,ゲームですかプレーヤーですか？,Jogo ou jogador?,Игра или игрок?
,,,Goodbye!,Tschüss!,,¡Hasta luego!,¡Hasta luego!,Au revoir !,Addio!,さようなら！,Tchau!,До свидания!
,,,Graphics Level,Grafikstufe,,Nivel de gráficos,Nivel de gráficos,Niveau graphismes,Livello grafica,グラフィックレベル,Nível dos gráficos,Уровень графики
,,,Graphics Mode,Grafikmodus,,Modo de gráficos,Modo de gráficos,Mode graphismes,Modalità grafica,グラフィックモード,Modo de gráficos,Режим графики
,,,Graphics Quality,Grafikqualität,,Calidad gráfica,Calidad gráfica,Qualité graphismes,Qualità grafica,グラフィック品質,Qualidade dos gráficos,Качество графики
,,,Help,Hilfe,,Ayuda,Ayuda,Aide,Guida,ヘルプ,Ajuda,Справка
,,,Inappropriate Content,Unangemessener Inhalt,,Contenido inadecuado,Contenido inadecuado,Contenu inapproprié,Contenuto non appropriato,不適切なコンテンツ,Conteúdo inapropriado,Недопустимое содержимое
,,,Inappropriate Username,Unangemessener Benutzername,,Nombre de usuario inadecuado,Nombre de usuario inadecuado,Nom d'utilisateur inapproprié,Nome utente non appropriato,不適切なユーザ名,Nome de usuário inapropriado,Недопустимое имя пользователя
,,,Jump,Springen,,Saltar,Saltar,Sauter,Salta,ジャンプ,Pular,Прыжок
,,,KOs,K.O.s,,N.º de KO,N.º de KO,Ko,KO,KO回数,Nocautes,Нокауты
,,,Keyboard + Mouse,Tastatur + Maus,,Teclado + ratón,Teclado + ratón,Clavier + souris,Tastiera e mouse,キーボード+ マウス,Teclado + mouse,Клавиатура + мышь
,,,"1,2,3...","1,2,3...",,"1,2,3...","1,2,3...","1, 2, 3...","1, 2, 3...","1,2,3...","1,2,3...","1,2,3..."
,,,Label,Label,,Etiqueta,Etiqueta,Étiquette,Etichetta,ラベル,Rótulo,Метка
,,,Leave,Verlassen,,Salir,Salir,Quitter,Esci,やめる,Sair,Выйти
,,,Leave Game,Spiel verlassen,,Salir del juego,Salir del juego,Quitter le jeu,Esci dal gioco,ゲームをやめる,Sair do jogo,Выйти из игры
,,,Left Mouse Button,Linke Maustaste,,Botón izquierdo del ratón,Botón izquierdo del ratón,Bouton gauche de la souris,Sinistro/Mouse,左マウスボタン,Mouse (esquerdo),ЛКМ
,,,Loading,Laden,,Cargando,Cargando,En cours,Caricamento,ロード中,Carregando,Загрузка
,,,Loading.,Laden.,,Cargando.,Cargando.,En cours.,Caricamento.,ロード中.,Carregando.,Загрузка
,,,Loading..,Laden ...,,Cargando..,Cargando..,En cours..,Caricamento..,ロード中..,Carregando..,Загрузка
,,,Loading...,Laden ...,,Cargando...,Cargando...,En cours...,Caricam...,ロード中...,Carregando...,Загрузка
,,,Manual,Manuell,,Manual,Manual,Manuel,Manuale,マニュアル,Manual,Вручную
,,,Mem,Spe.,,Mem.,Mem.,Mém,Mem,メモリー,Mem.,Память
,,,A/Left Arrow,A/Pfeil links,,A/Cursor izquierdo,A/Cursor izquierdo,A/Flèche gauche,A/Freccia SINISTRA,A/左カーソル,A/seta esquerda,A/стрелка влево
,,,Menu Items,Menüobjekte,,Objetos del menú,Objetos del menú,Objets du menu,Oggetti menu,メニューアイテム,Itens de menu,Пункты меню
,,,Misc,Verschiedenes,,Misc.,Misc.,Divers,Vari,その他,Misc.,Разное
,,,Mouse Sensitivity,Mausempfindlichkeit,,Sensibilidad del ratón,Sensibilidad del ratón,Sensibilité de la souris,Precisione mouse,マウス感度,Sensibilidade do mouse,Чувствительность мыши
,,,Mouse Wheel,Mausrad,,Rueda del ratón,Rueda del ratón,Molette de la souris,Rotellina mouse,マウスホイール,Roda do mouse,Колесо мыши
,,,Mouselock,Maussperre,,Bloqueo del ratón,Bloqueo del ratón,Verrouillage souris,Blocco mouse,マウスロック,Travar mouse,Фиксация мыши
,,,Move Backward,Rückwärts,,Moverse hacia atrás,Moverse hacia atrás,Reculer,Muovi indietro,後ろに移動,Mover (trás),Назад
,,,Move Forward,Vorwärts,,Moverse hacia delante,Moverse hacia delante,Avancer,Muovi in avanti,前に移動,Mover (frente),Вперед
,,,Move Left,Nach links,,Moverse a la izquierda,Moverse a la izquierda,Aller à gauche,Muovi a sinistra,左に移動,Mover (esquerda),Влево
,,,Move Right,Nach rechts,,Moverse a la derecha,Moverse a la derecha,Aller à droite,Muovi a destra,右に移動,Mover (direita),Вправо
,,,Movement Mode,Bewegungsmodus,,Modo de movimiento,Modo de movimiento,Mode déplacement,Modalità movimento,動作モード,Modo de movimento,Режим передвижения
,,,Accept,Annehmen,,Aceptar,Aceptar,Accepter,Accetta,同意する,Aceitar,Принять
,,,OK,Okay,,Aceptar,Aceptar,Ok,OK,OK,OK,OK
,,,Off,Aus,,Desactivado,Desactivado,Arrêt,Disattivato,Off,Desligado,Выкл.
,,,Offsite Links,Externe Links,,Enlaces externos,Enlaces externos,Liens hors site,Collegamenti ad altri siti,外部リンク,Links externos,Внешние ссылки
,,,On,An,,Activado,Activado,Marche,Attivato,On,Ligado,Вкл.
,,,Perf. Stats,Leist. Werte,,Est. de rend.,Est. de rend.,Perf. Stats,Stat. prest.,パフォーマンス状態,Estat. Des.,Показатели произ.
,,,Performance Stats,Leistungswerte,,Estadísticas de rendimiento,Estadísticas de rendimiento,Stats de performance,Statistiche prestazioni,パフォーマンス状態,Estat. de desempenho,Показатели производительности
,,,Personal Question,Persönliche Frage,,Pregunta personal,Pregunta personal,Question personnelle,Domanda personale,個人的な質問,Pergunta pessoal,Личный вопрос
,,,Phys,Phys.,,Fís.,Fís.,Phys.,Fisico,物理,Fís.,Физ.
,,,Player,Spieler,,Jugador,Jugador,Joueur,Giocatore,プレーヤー,Jogador,Игрок
,,,Playerlist,Spielerliste,,Jugadores,Jugadores,Liste de joueurs,Lista giocatori,プレーヤーリスト,Jogadores,Список игроков
,,,Accessories,Accessoires,,Accesorios,Accesorios,Accessoires,Accessori,アクセサリ,Acessórios,Аксессуары
,,,Players,Spieler,,Jugadores,Jugadores,Joueurs,Giocatori,プレーヤー,Jogadores,Игроки
,,,Print Screen,Drucktaste,,Imprimir pantalla,Imprimir pantalla,Impression écran,STAMP,画面プリント,Print screen,Print Screen
,,,Purchasing,Wird gekauft ...,,Compras,Compras,Achat,Acquisto,購入,Comprando,Покупка
,,,Record,Aufzeichnen,,Grabar,Grabar,Enregistrer,Registra,録画,Gravar,Запись
,,,Record Video,Video aufnehmen,,Grabar vídeo,Grabar vídeo,Enregistrer vidéo,Registra video,ビデオ録画,Gravar vídeo,Запись видео
,,,Recv,Erh.,,Recib.,Recib.,Enr. v,Ricev.,受信,Receb.,Получ.
,,,Report,Melden,,Denunciar,Denunciar,Signaler,Segnala,レポート,Denunciar,Сообщить
,,,Requesting Server...,Serveranfrage ...,,Solicitando servidor...,Solicitando servidor...,Demande serveur...,Richiesta server...,サーバーを要求...,Solicitando servidor...,Запрос сервера...
,,,Reset,Zurück-\n setzen,,Reiniciar,Reiniciar,Réinitialiser,Azzera,リセット,Reiniciar,Сброс
,,,Resume Game,Spiel fortsetzen,,Seguir jugando,Seguir jugando,Reprendre le jeu,Riprendi gioco,ゲームを再開,Continuar jogo,Возобновить
